EC,Process_cycle,enzyme_name,likely_dehydrogenase_nutrient_cycle,short_name,Notes
EC.3.1.1.23,Carbon,acylglycerol lipase,,,
EC.2.4.1.140,Carbon,alternansucrase,,,
EC.2.4.1.4,Carbon,Amylosucrase,,,
EC.1.1.3.7,Carbon,aryl alcohol oxidases,,,
EC.3.1.1.2,Carbon,Arylesterase,,,
EC.3.2.1.203,Carbon,carboxymethylcellulase,,,
EC.3.4.17.20,Carbon,carboxypeptidase U,,,
EC.1.10.3.1,Carbon,catechol oxidase,,,
EC.1.1.99.18,Carbon,cellobiose dehydrogenases,,,
EC.2.4.1.20,Carbon,cellobiose phosphorylase,,,
EC.3.2.1.4,Carbon,cellulase,,,
EC.3.2.1.91,Carbon,"cellulose 1,4-?-cellobiosidase (non-reducing end)",,,
EC.3.2.1.176,Carbon,"cellulose 1,4-?-cellobiosidase (reducing end)",,,
EC.2.4.1.29,Carbon,cellulose synthase (GDP-forming),,,
EC.2.4.1.12,Carbon,cellulose synthase (UDP-forming),,,
EC.3.1.6.7,Carbon,cellulose-polysulfatase,,,
EC.3.2.1.54,Carbon,cyclomaltodextrinase,,,
EC.3.4.19.15,Carbon,desampylase,,,
EC.2.4.1.5,Carbon,dextransucrase,,,
EC.3.2.1.6,Carbon,"endo-1,3(4)-?-glucanase",,,
EC.3.2.1.32,Carbon,"endo-1,3-?-xylanase",,,
EC.3.2.1.8,Carbon,"endo-1,4-?-xylanase",,,
EC.3.1.1.26,Carbon,galactolipase,,,
EC.3.2.1.84,Carbon,"glucan 1,3-?-glucosidase",,,
EC.3.2.1.3,Carbon,"glucan 1,4-?-glucosidase",,,
EC.3.2.1.74,Carbon,"glucan 1,4-?-glucosidase",,,
EC.3.2.1.71,Carbon,"glucan endo-1,2-?-glucosidase",,,
EC.3.2.1.59,Carbon,"glucan endo-1,3-?-glucosidase",,,
EC.3.2.1.39,Carbon,"glucan endo-1,3-?-D-glucosidase",,,
EC.3.2.1.75,Carbon,"glucan endo-1,6-?-glucosidase",,,
EC.3.2.1.136,Carbon,"glucuronoarabinoxylan endo-1,4-?-xylanase",,,
EC.3.4.17.21,Carbon,glutamate carboxypeptidase II,,,
EC.3.1.4.50,Carbon,glycosylphosphatidylinositol phospholipase D,,,
EC.3.1.1.79,Carbon,hormone-sensitive lipase,,,
EC.2.4.1.9,Carbon,inulosucrase,,,
EC.3.2.1.68,Carbon,Isoamylase,,,
EC.1.10.3.2,Carbon,laccase,,,
EC.2.4.1.10,Carbon,levansucrase,,,
EC.1.11.1.14,Carbon,lignin peroxidase,,,
EC.3.1.1.34,Carbon,lipoprotein lipase,,,
EC.3.1.1.5,Carbon,lysophospholipase,,,
EC.1.14.99.54,Carbon,lytic cellulose monooxygenase (C1-hydroxylating),,,
EC.1.14.99.56,Carbon,lytic cellulose monooxygenase (C4-dehydrogenating),,,
EC.1.11.1.13,Carbon,manganese peroxidase,,,
EC.3.2.1.96,Carbon,mannosyl-glycoprotein endo-?-N-acetylglucosaminidase,,,
EC.3.4.21.3,Carbon,metridin,,,
EC.2.4.1.372,Carbon,mutansucrase,,,
EC.3.1.4.45,Carbon,N-acetylglucosamine-1-phosphodiester ?-N-acetylglucosaminidase,,,
EC.3.1.4.54,Carbon,N-acetylphosphatidylethanolamine-hydrolysing phospholipase D,,,
EC.3.2.1.10,Carbon,"oligo-1,6-glucosidase",,,
EC.3.2.1.156,Carbon,oligosaccharide reducing-end xylanase,,,
EC.1.11.1.7,Carbon,Peroxidase,,,
EC.3.1.1.52,Carbon,phosphatidylinositol deacylase,,,
EC.3.1.1.32,Carbon,phospholipase A1,,,
EC.3.1.1.4,Carbon,phospholipase A2,,,
EC.3.1.4.3,Carbon,phospholipase C,,,
EC.3.1.4.4,Carbon,phospholipase D,,,
EC.3.1.1.118,Carbon,phospholipid sn-1 acylhydrolase,,,
EC.1.1.3.10,Carbon,pyranose-2-oxidases,,,
EC.3.1.1.116,Carbon,sn-1-specific diacylglycerol lipase,,,
EC.3.2.1.48,Carbon,sucrose ?-glucosidase,,,
EC.1.15.1.1,Carbon,superoxide dismutases,,,
EC.3.1.1.3,Carbon,triacylglycerol lipase,,,
EC.3.2.1.72,Carbon,"xylan 1,3-?-xylosidase",,,
EC.3.2.1.155,Carbon,"xyloglucan-specific endo-processive ?-1,4-glucanase",,,
EC.3.2.1.151,Carbon,"xyloglucan-specific endo-?-1,4-glucanase",,,
EC.2.4.1.373,Carbon,?-(1?2) branching sucrase,,,
EC.2.4.1.362,Carbon,?-(1?3) branching sucrase,,,
EC.3.2.1.1,Carbon,?-amylase,,,
EC.3.2.1.20,Carbon,?-glucosidase,,,
EC.3.2.1.50,Carbon,?-N-acetylglucosaminidase,,,
EC.3.2.1.2,Carbon,?-amylase,,,
EC.3.2.2.11,Carbon,?-aspartyl-N-acetylglucosaminidase,,,
EC.3.2.1.26,Carbon,?-fructofuranosidase,,,
EC.3.2.1.21,Carbon,?-glucosidases,,,
EC.3.2.1.52,Carbon,?-N-acetylhexosaminidase,,,
EC.3.2.1.200,Disease_control,exo-chitinase (non-reducing end),,,
EC.3.2.1.201,Disease_control,exo-chitinase (reducing end),,,
EC.3.1.3.72,Iron,5-phytase,,,
EC.3.1.3.8,Iron,3-phytase,,,
EC.3.1.3.26,Iron,4-phytase,,,
EC.3.5.1.86,Nitrogen,"	mandelamide amidase",,,
EC.3.4.24.32,Nitrogen,"	?-lytic metalloendopeptidase",,,
EC.3.5.1.100,Nitrogen,(R)-amidase,,,
EC.3.5.1.111,Nitrogen,2-oxoglutaramate amidase,,,
EC.3.5.4.41,Nitrogen,5?-deoxyadenosine deaminase,,,
EC.3.5.1.30,Nitrogen,5-aminopentanamidase,,,
EC.3.4.22.14,Nitrogen,actinidain,,,
EC.3.5.1.39,Nitrogen,alkylamidase,,,
EC.3.5.1.4,Nitrogen,Amidase,,,
EC.3.4.11.6,Nitrogen,aminopeptidase B,,,
EC.3.4.11.20,Nitrogen,aminopeptidase Ey,,,
EC.3.4.11.22,Nitrogen,aminopeptidase I,,,
EC.3.4.11.24,Nitrogen,aminopeptidase S,,,
EC.3.4.11.15,Nitrogen,aminopeptidase Y,,,
EC.1.7.1.10,Nitrogen,ammonia monooxygenase,,,
EC.3.5.1.13,Nitrogen,aryl-acylamidase,,,
EC.3.5.1.76,Nitrogen,arylalkyl acylamidase,,,
EC.3.5.1.9,Nitrogen,arylformamidase,,,
EC.3.4.11.21,Nitrogen,aspartyl aminopeptidase,,,
EC.3.4.23.18,Nitrogen,aspergillopepsin I,,,
EC.3.4.24.29,Nitrogen,aureolysin,,,
EC.3.4.11.10,Nitrogen,bacterial leucyl aminopeptidase,,,
EC.3.4.21.32,Nitrogen,brachyurin,,,
EC.3.4.17.1,Nitrogen,Carboxypeptidase A,,,
EC.3.4.17.15,Nitrogen,carboxypeptidase A2,,,
EC.3.4.16.5,Nitrogen,Carboxypeptidase C,,,
EC.3.4.16.6,Nitrogen,Carboxypeptidase D,,,
EC.3.4.17.12,Nitrogen,carboxypeptidase M,,,
EC.3.4.17.18,Nitrogen,carboxypeptidase T,,,
EC.3.4.17.19,Nitrogen,carboxypeptidase Taq,,,
EC.3.5.1.73,Nitrogen,carnitinamidase,,,
EC.3.5.1.23,Nitrogen,ceramidase,,,
EC.3.2.1.14,Nitrogen,chitinase,,,
EC.3.4.11.13,Nitrogen,clostridial aminopeptidase,,,
EC.3.4.21.102,Nitrogen,C-terminal processing peptidase,,,
EC.3.4.11.3,Nitrogen,cystinyl aminopeptidase,,,
EC.3.4.11.14,Nitrogen,cytosol alanyl aminopeptidase,,,
EC.3.1.21.1,Nitrogen,deoxyribonuclease I,,,
EC.3.4.24.39,Nitrogen,deuterolysin,,,
EC.3.5.4.37,Nitrogen,double-stranded RNA adenine deaminase,,,
EC.3.4.11.19,Nitrogen,D-stereospecific aminopeptidase,,,
EC.3.5.2.18,Nitrogen,enamidase,,,
EC.3.2.1.123,Nitrogen,endoglycosylceramidase,,,
EC.3.4.21.53,Nitrogen,endopeptidase La,,,
EC.3.4.19.9,Nitrogen,folate ?-glutamyl hydrolase,,,
EC.3.5.1.49,Nitrogen,formamidase,,,
EC.3.2.1.46,Nitrogen,galactosylceramidase,,,
EC.3.4.22.37,Nitrogen,gingipain R,,,
EC.3.2.1.45,Nitrogen,glucosylceramidase,,,
EC.3.4.17.11,Nitrogen,glutamate carboxypeptidase,,,
EC.3.4.11.7,Nitrogen,glutamyl aminopeptidase,,,
EC.3.5.1.78,Nitrogen,glutathionylspermidine amidase,,,
EC.3.2.1.62,Nitrogen,glycosylceramidase,,,
EC.3.4.22.35,Nitrogen,histolysain,,,
EC.3.4.25.2,Nitrogen,HslU—HslV peptidase,,,
EC.1.7.2.6,Nitrogen,hydroxylamine dehydrogenase,,,
EC.1.7.3.4,Nitrogen,hydroxylamine oxidoreductase,,,
EC.3.4.21.61,Nitrogen,kexin,,,
EC.3.5.1.1,Nitrogen,l-asparagine amidohydrolase,,,
EC.3.4.11.1,Nitrogen,leucyl aminopeptidase,,,
EC.3.5.1.2,Nitrogen,l-glutamine amidohydrolase,,,
EC.3.4.21.121,Nitrogen,Lys-Lys/Arg-Xaa endopeptidase,,,
EC.3.4.16.2,Nitrogen,lysosomal Pro-Xaa carboxypeptidase,,,
EC.3.4.21.50,Nitrogen,lysyl endopeptidase,,,
EC.3.4.21.104,Nitrogen,mannan-binding lectin-associated serine protease-2,,,
EC.3.4.11.2,Nitrogen,membrane alanyl aminopeptidase,,,
EC.3.4.17.16,Nitrogen,membrane Pro-Xaa carboxypeptidase,,,
EC.1.14.18.3,Nitrogen,methane monooxygenase,,,
EC.3.4.24.3,Nitrogen,microbial collagenase,,,
EC.3.4.17.13,Nitrogen,muramoyltetrapeptide carboxypeptidase,,,
EC.3.5.1.115,Nitrogen,mycothiol S-conjugate amidase,,,
EC.3.5.1.56,Nitrogen,"N,N-dimethylformamidase",,,
EC.3.5.1.28,Nitrogen,N-acetylmuramoyl-L-alanine amidase,,,
EC.3.5.1.53,Nitrogen,N-carbamoylputrescine amidase,,,
EC.3.5.1.59,Nitrogen,N-carbamoylsarcosine amidase,,,
EC.3.5.1.19,Nitrogen,nicotinamidase,,,
EC.3.5.1.42,Nitrogen,nicotinamide-nucleotide amidase,,,
EC.1.7.2.5,Nitrogen,nitric oxide reductase,,,
EC.1.7.1.1,Nitrogen,nitrite oxidoreductase,,,
EC.1.7.2.1,Nitrogen,nitrite reductase,,,
EC.1.7.2.2,Nitrogen,nitrite reductase (cytochrome),,,
EC.1.7.1.15,Nitrogen,nitrite reductase (NADH),,,
EC.1.7.1.4,Nitrogen,nitrite reductase [NAD(P)H],,,
EC.1.18.6.1,Nitrogen,nitrogenase,,,
EC.1.7.2.4,Nitrogen,nitrous-oxide reductase,,,
EC.3.4.21.83,Nitrogen,oligopeptidase B,,,
EC.3.4.23.49,Nitrogen,omptin,,,
EC.3.4.21.63,Nitrogen,oryzin,,,
EC.3.4.24.57,Nitrogen,O-sialoglycoprotein endopeptidase,,,
EC.3.5.1.11,Nitrogen,penicillin amidase,,,
EC.3.4.23.20,Nitrogen,penicillopepsin,,,
EC.3.5.1.50,Nitrogen,pentanamidase,,,
EC.3.4.11.23,Nitrogen,PepB aminopeptidase,,,
EC.3.4.21.107,Nitrogen,peptidase Do,,,
EC.3.5.1.52,Nitrogen,peptide-N4-(N-acetyl-?-glucosaminyl)asparagine amidase,,,
EC.3.4.19.2,Nitrogen,peptidyl-glycinamidase,,,
EC.3.9.1.1,Nitrogen,phosphoamidase,,,
EC.3.5.1.79,Nitrogen,phthalyl amidase,,,
EC.3.4.24.14,Nitrogen,procollagen N-endopeptidase,,,
EC.3.4.11.5,Nitrogen,prolyl aminopeptidase,,,
EC.3.4.24.89,Nitrogen,Pro-Pro endopeptidase,,,
EC.3.4.23.21,Nitrogen,rhizopuspepsin,,,
EC.3.4.23.26,Nitrogen,rhodotorulapepsin,,,
EC.3.4.21.105,Nitrogen,rhomboid protease,,,
EC.4.6.1.19,Nitrogen,ribonuclease T2,,,
EC.3.4.16.4,Nitrogen,serine-type D-Ala-D-Ala carboxypeptidase,,,
EC.3.4.24.40,Nitrogen,serralysin,,,
EC.3.5.4.31,Nitrogen,S-methyl-5?-thioadenosine deaminase,,,
EC.3.4.24.77,Nitrogen,snapalysin,,,
EC.3.4.21.116,Nitrogen,SpolVB peptidase,,,
EC.3.4.21.80,Nitrogen,streptogrisin A,,,
EC.3.4.21.81,Nitrogen,streptogrisin B,,,
EC.3.4.22.10,Nitrogen,streptopain,,,
EC.3.4.21.62,Nitrogen,subtilisin,,,
EC.3.4.11.4,Nitrogen,tripeptide aminopeptidase,,,
EC.3.5.1.57,Nitrogen,tryptophanamidase,,,
EC.3.4.11.17,Nitrogen,tryptophanyl aminopeptidase,,,
EC.3.4.17.17,Nitrogen,tubulinyl-Tyr carboxypeptidase,,,
EC.3.4.22.68,Nitrogen,Ulp1 peptidase,,,
EC.3.5.1.5,Nitrogen,Urease,,,
EC.3.4.11.9,Nitrogen,Xaa-Pro aminopeptidase,,,
EC.3.4.11.16,Nitrogen,Xaa-Trp aminopeptidase,,,
EC.3.4.23.41,Nitrogen,yapsin 1,,,
EC.3.4.17.14,Nitrogen,zinc D-Ala-D-Ala carboxypeptidase,,,
EC.3.4.22.67,Nitrogen,zingipain,,,
EC.3.4.21.12,Nitrogen,?-lytic endopeptidase,,,
EC.3.4.11.25,Nitrogen,?-peptidyl aminopeptidase,,,
EC.3.5.1.3,Nitrogen,?-amidase,,,
EC.3.4.21.92,Nitrogen,endopeptidase Clp,,,
EC.3.4.17.22,Nitrogen,metallocarboxypeptidase D,,,
EC.5.4.4.2,Other,isochorismate synthase,,,Vitamin K synthesis in E. coli
EC.1.11.1.6,Oxygen,Catalase,,,
EC.1.11.1.21,Oxygen,Catalase-peroxidase,,,
EC.3.2.1.37,Oxygen,"xylan 1,4-?-xylosidase",,,
EC.3.2.1.177,Oxygen,?-D-xyloside xylohydrolase,,,
EC.3.1.3.2,Phosphorus,Acid phosphatase,,,
EC.3.1.3.1,Phosphorus,Alkaline phosphatase,,,
EC.3.6.1.1,Phosphorus,inorganic pyrophosphatase,,,
EC.3.1.3.4,Phosphorus,phosphatidate phosphatase,,,
EC.3.1.3,Phosphorus,Phosphoric-triester hydrolases,,,
EC.1.3.3.11,Phosphorus,pyrroloquinoline-quinone synthase,,,
EC.3.6.1.2,Phosphorus,trimetaphosphatase,,,
EC.3.1.4.11,Phosphorus,phosphoinositide phospholipase C,,,
EC.3.5.1.72,Respiration,"	D-benzoylarginine-4-nitroanilide amidase",Nitrogen,,
EC.3.5.1.40,Respiration,acylagmatine amidase,Nitrogen,,
EC.3.5.4.4,Respiration,Adenosine deaminase,Nitrogen,,
EC.3.4.17.6,Respiration,alanine carboxypeptidase,Nitrogen,,
EC.1.14.99.39,Respiration,ammonia monooxygenase,Nitrogen,,
EC.1.3.3.17,Respiration,benzylmalonyl-CoA dehydrogenase,,,
EC.3.4.17.2,Respiration,Carboxypeptidase B,Nitrogen,,
EC.3.4.17.10,Respiration,carboxypeptidase E,Nitrogen,,
EC.3.4.18.1,Respiration,cathepsin X,Nitrogen,,
EC.3.5.1.128,Respiration,deaminated glutathione amidase,Nitrogen,,
EC.1.7.7.1,Respiration,ferredoxin--nitrite reductase,Nitrogen,,
EC.3.4.17.4,Respiration,Gly-Xaa carboxypeptidase,Nitrogen,,
EC.3.1.3.76,Respiration,lipid-phosphate phosphatase,Phosphorus,,
EC.3.4.17.3,Respiration,lysine carboxypeptidase,Nitrogen,,
EC.3.4.11.18,Respiration,methionyl aminopeptidase,Nitrogen,,
EC.3.4.23.23,Respiration,mucorpepsin,Nitrogen,,
EC.3.4.17.8,Respiration,muramoylpentapeptide carboxypeptidase,Nitrogen,,
EC.3.2.1.92,Respiration,peptidoglycan ?-N-acetylmuramidase,Other,,
EC.3.1.4.1,Respiration,phosphodiesterase I,Phosphorus,,
EC.3.4.24.55,Respiration,pitrilysin,Nitrogen,,
EC.3.4.17.24,Respiration,tubulin-glutamate carboxypeptidase,Nitrogen,,
EC.1.1.1,Respiration,,Oxygen,,
EC.1.1.2,Respiration,,Oxygen,,
EC.1.10.1.1,Respiration,,Carbon,,
EC.1.10.5.1,Respiration,,Carbon,,
EC.1.12.1,Respiration,,Hydrogen,,
EC.1.14.13.51,Respiration,,Oxygen,,
EC.1.14.19,Respiration,,Oxygen,,
EC.1.17.1,Respiration,,Carbon,,
EC.1.17.2,Respiration,,Carbon,,
EC.1.17.3.3,Respiration,,Carbon,,
EC.1.17.5,Respiration,,Carbon,,
EC.1.17.9.1,Respiration,,Carbon,,
EC.1.17.98,Respiration,,Carbon,,
EC.1.17.99,Respiration,,Carbon,,
EC.1.2.1,Respiration,,Oxygen,,
EC.1.20.1.1,Respiration,,Phosphorus,,
EC.1.21.99.1,Respiration,,Oxygen,,
EC.1.3.1,Respiration,,Carbon,,
EC.1.3.2.3,Respiration,,Carbon,,
EC.1.3.3.10,Respiration,,Carbon,,
EC.1.3.3.16,Respiration,,Carbon,,
EC.1.3.5,Respiration,,Carbon,,
EC.1.3.8,Respiration,,Carbon,,
EC.1.3.98,Respiration,,Carbon,,
EC.1.3.99,Respiration,,Carbon,,
EC.1.4.1,Respiration,,Nitrogen,,
EC.1.4.2,Respiration,,Nitrogen,,
EC.1.4.4.2,Respiration,,Nitrogen,,
EC.1.4.5.1,Respiration,,Nitrogen,,
EC.1.4.9,Respiration,,Nitrogen,,
EC.1.4.99,Respiration,,,,
EC.1.5.1,Respiration,,Nitrogen,,
EC.1.5.5,Respiration,,Nitrogen,,
EC.1.5.7.3,Respiration,,Nitrogen,,
EC.1.5.8,Respiration,,Nitrogen,,
EC.1.5.98,Respiration,,Nitrogen,,
EC.1.5.99,Respiration,,Nitrogen,,
EC.1.6.5,Respiration,,Oxygen,,
EC.1.6.99,Respiration,,Oxygen,,
EC.1.7.2.8,Respiration,,Nitrogen,,
EC.1.8.1,Respiration,,Sulfur,,
EC.1.8.2,Respiration,,Sulfur,,
EC.1.8.5,Respiration,,Sulfur,,
EC.2.3.1.190,Respiration,,Carbon,,
EC.2.6.1.121,Respiration,,Nitrogen,,
EC.2.7.11,Respiration,,Phosphorus,,
EC.7.1.1.12,Respiration,,Oxygen,,
EC.3.5.99.7,Stress,1-aminocyclopropane-1-carboxylate deaminase,,,
EC.4.1.1.74,Stress,indolepyruvate decarboxylase,,,
EC.3.1.6.1,Sulfur,Arylsulfatase (type I),,,
EC.3.1.6.12,Sulfur,N-acetylgalactosamine-4-sulfatase,,,
EC.3.1.6.2,Sulfur,steryl-sulfatase,,,
EC.3.1.6.8,Sulfur,cerebroside-sulfatase,,,
